,index,date,close,high,low,open,candle_size
123333,123333,2022-01-27 11:50:00+05:30,16932.65,16937.15,16921.7,16929.85,2.8000000000029104
123334,123334,2022-01-27 11:55:00+05:30,16936.65,16937.5,16925.1,16933.85,2.8000000000029104
123338,123338,2022-01-27 12:15:00+05:30,16872.35,16887.2,16871.4,16882.75,-10.400000000001455
123339,123339,2022-01-27 12:20:00+05:30,16883.65,16888.85,16867.05,16871.5,12.150000000001455
123340,123340,2022-01-27 12:25:00+05:30,16898.35,16903.65,16874.4,16883.75,14.599999999998545
123341,123341,2022-01-27 12:30:00+05:30,16936.1,16944.75,16898.8,16898.8,37.29999999999927
123342,123342,2022-01-27 12:35:00+05:30,16921.1,16946.65,16921.1,16936.55,-15.450000000000728
123346,123346,2022-01-27 12:55:00+05:30,16923.25,16930.8,16920.45,16924.7,-1.4500000000007276
123347,123347,2022-01-27 13:00:00+05:30,16963.0,16969.9,16922.55,16922.85,40.150000000001455
123348,123348,2022-01-27 13:05:00+05:30,16971.6,16975.75,16958.8,16962.9,8.69999999999709
123349,123349,2022-01-27 13:10:00+05:30,17008.1,17012.65,16970.8,16971.3,36.79999999999927
123350,123350,2022-01-27 13:15:00+05:30,17004.35,17029.5,16987.95,17007.45,-3.100000000002183
123351,123351,2022-01-27 13:20:00+05:30,17013.3,17015.15,16989.4,17003.55,9.75
123352,123352,2022-01-27 13:25:00+05:30,16997.25,17016.95,16991.55,17013.1,-15.849999999998545
123353,123353,2022-01-27 13:30:00+05:30,17014.45,17014.9,16992.5,16998.45,16.0
123354,123354,2022-01-27 13:35:00+05:30,17032.3,17035.4,17005.45,17015.7,16.599999999998545
123366,123366,2022-01-27 14:35:00+05:30,17156.25,17180.3,17136.35,17157.95,-1.7000000000007276
123367,123367,2022-01-27 14:40:00+05:30,17171.85,17175.15,17155.6,17155.6,16.25
123368,123368,2022-01-27 14:45:00+05:30,17130.45,17182.1,17127.5,17171.9,-41.45000000000073
123369,123369,2022-01-27 14:50:00+05:30,17096.05,17147.75,17094.55,17125.0,-28.950000000000728
123370,123370,2022-01-27 14:55:00+05:30,17096.8,17109.4,17089.5,17095.6,1.2000000000007276
123383,123383,2022-01-28 09:45:00+05:30,17319.7,17352.0,17314.95,17338.95,-19.25
123384,123384,2022-01-28 09:50:00+05:30,17348.25,17359.05,17318.95,17318.95,29.299999999999272
123385,123385,2022-01-28 09:55:00+05:30,17344.5,17357.65,17338.2,17349.05,-4.549999999999272
123386,123386,2022-01-28 10:00:00+05:30,17344.3,17351.2,17330.15,17344.45,-0.1500000000014552
123387,123387,2022-01-28 10:05:00+05:30,17350.55,17350.55,17330.3,17343.0,7.549999999999272
123388,123388,2022-01-28 10:10:00+05:30,17333.0,17351.25,17333.0,17349.45,-16.450000000000728
123389,123389,2022-01-28 10:15:00+05:30,17302.35,17336.95,17298.7,17336.95,-34.60000000000218
123390,123390,2022-01-28 10:20:00+05:30,17306.1,17321.05,17302.0,17302.0,4.099999999998545
123401,123401,2022-01-28 11:15:00+05:30,17310.0,17326.4,17309.4,17321.3,-11.299999999999272
123402,123402,2022-01-28 11:20:00+05:30,17323.8,17323.8,17299.95,17309.8,14.0
123403,123403,2022-01-28 11:25:00+05:30,17328.35,17334.35,17324.0,17324.0,4.349999999998545
123404,123404,2022-01-28 11:30:00+05:30,17329.2,17336.2,17325.8,17329.2,0.0
123405,123405,2022-01-28 11:35:00+05:30,17336.7,17342.35,17321.8,17328.25,8.450000000000728
123412,123412,2022-01-28 12:10:00+05:30,17353.1,17357.1,17345.65,17354.95,-1.8500000000021828
123413,123413,2022-01-28 12:15:00+05:30,17363.4,17370.5,17342.65,17352.6,10.80000000000291
123414,123414,2022-01-28 12:20:00+05:30,17366.3,17373.0,17361.05,17364.5,1.7999999999992724
123415,123415,2022-01-28 12:25:00+05:30,17358.45,17367.25,17350.6,17366.35,-7.899999999997817
123416,123416,2022-01-28 12:30:00+05:30,17358.0,17359.55,17345.3,17358.35,-0.3499999999985448
123418,123418,2022-01-28 12:40:00+05:30,17343.4,17357.15,17335.0,17345.95,-2.5499999999992724
123419,123419,2022-01-28 12:45:00+05:30,17354.9,17365.3,17338.4,17343.1,11.80000000000291
123420,123420,2022-01-28 12:50:00+05:30,17354.6,17361.15,17345.3,17355.2,-0.6000000000021828
123421,123421,2022-01-28 12:55:00+05:30,17358.05,17365.05,17348.05,17354.3,3.75
123422,123422,2022-01-28 13:00:00+05:30,17346.25,17359.45,17339.05,17357.8,-11.549999999999272
123423,123423,2022-01-28 13:05:00+05:30,17350.95,17352.4,17336.7,17346.15,4.799999999999272
123424,123424,2022-01-28 13:10:00+05:30,17338.65,17352.65,17334.95,17350.95,-12.299999999999272
123470,123470,2022-01-31 10:45:00+05:30,17281.9,17290.85,17264.35,17290.85,-8.94999999999709
123471,123471,2022-01-31 10:50:00+05:30,17313.75,17321.7,17271.85,17281.05,32.70000000000073
123472,123472,2022-01-31 10:55:00+05:30,17312.0,17319.85,17306.2,17314.1,-2.099999999998545
123473,123473,2022-01-31 11:00:00+05:30,17305.65,17317.35,17296.65,17312.2,-6.549999999999272
123474,123474,2022-01-31 11:05:00+05:30,17337.5,17338.9,17303.05,17305.9,31.599999999998545
123482,123482,2022-01-31 11:45:00+05:30,17339.6,17343.65,17332.05,17341.25,-1.6500000000014552
123483,123483,2022-01-31 11:50:00+05:30,17349.05,17349.05,17333.65,17339.5,9.549999999999272
123484,123484,2022-01-31 11:55:00+05:30,17350.4,17352.5,17341.65,17349.0,1.4000000000014552
123485,123485,2022-01-31 12:00:00+05:30,17365.3,17374.75,17350.05,17350.05,15.25
123486,123486,2022-01-31 12:05:00+05:30,17383.9,17383.9,17360.7,17365.65,18.25
123493,123493,2022-01-31 12:40:00+05:30,17365.7,17375.3,17349.75,17372.75,-7.049999999999272
123494,123494,2022-01-31 12:45:00+05:30,17386.2,17392.45,17364.4,17365.15,21.049999999999272
123495,123495,2022-01-31 12:50:00+05:30,17388.1,17391.8,17381.15,17385.65,2.4499999999970896
123496,123496,2022-01-31 12:55:00+05:30,17396.1,17396.1,17384.2,17388.2,7.899999999997817
123497,123497,2022-01-31 13:00:00+05:30,17376.35,17400.15,17373.25,17395.8,-19.450000000000728
123504,123504,2022-01-31 13:35:00+05:30,17340.25,17356.15,17324.8,17351.8,-11.549999999999272
123505,123505,2022-01-31 13:40:00+05:30,17357.85,17365.25,17335.35,17340.0,17.849999999998545
123506,123506,2022-01-31 13:45:00+05:30,17337.8,17369.35,17337.8,17356.65,-18.850000000002183
123507,123507,2022-01-31 13:50:00+05:30,17336.4,17346.75,17326.95,17337.8,-1.3999999999978172
123508,123508,2022-01-31 13:55:00+05:30,17338.6,17350.65,17329.7,17335.05,3.5499999999992724
123509,123509,2022-01-31 14:00:00+05:30,17330.4,17343.75,17328.0,17339.15,-8.75
123510,123510,2022-01-31 14:05:00+05:30,17368.6,17368.9,17329.65,17329.8,38.79999999999927
123511,123511,2022-01-31 14:10:00+05:30,17379.3,17391.45,17369.75,17370.1,9.200000000000728
123512,123512,2022-01-31 14:15:00+05:30,17380.8,17385.65,17375.05,17380.45,0.3499999999985448
123513,123513,2022-01-31 14:20:00+05:30,17387.65,17396.45,17376.55,17382.0,5.650000000001455
123532,123532,2022-02-01 09:40:00+05:30,17519.9,17534.95,17512.75,17530.25,-10.349999999998545
123533,123533,2022-02-01 09:45:00+05:30,17533.9,17548.95,17518.8,17519.8,14.100000000002183
123534,123534,2022-02-01 09:50:00+05:30,17542.75,17543.2,17530.3,17533.7,9.049999999999272
123535,123535,2022-02-01 09:55:00+05:30,17548.55,17555.45,17534.8,17540.15,8.399999999997817
123536,123536,2022-02-01 10:00:00+05:30,17561.4,17562.1,17544.1,17549.3,12.100000000002183
123546,123546,2022-02-01 10:50:00+05:30,17546.85,17557.4,17540.7,17554.9,-8.05000000000291
123547,123547,2022-02-01 10:55:00+05:30,17560.95,17569.05,17537.1,17546.8,14.150000000001455
123548,123548,2022-02-01 11:00:00+05:30,17583.55,17587.05,17553.35,17559.3,24.25
123549,123549,2022-02-01 11:05:00+05:30,17571.0,17587.8,17562.65,17584.3,-13.299999999999272
123550,123550,2022-02-01 11:10:00+05:30,17566.85,17570.55,17546.1,17570.55,-3.7000000000007276
123555,123555,2022-02-01 11:35:00+05:30,17511.85,17523.25,17453.55,17523.25,-11.400000000001455
123556,123556,2022-02-01 11:40:00+05:30,17532.05,17538.2,17498.2,17511.4,20.649999999997817
123557,123557,2022-02-01 11:45:00+05:30,17546.9,17559.4,17520.25,17532.8,14.100000000002183
123558,123558,2022-02-01 11:50:00+05:30,17558.6,17560.65,17527.2,17547.8,10.799999999999272
123559,123559,2022-02-01 11:55:00+05:30,17586.85,17586.85,17559.1,17559.1,27.75
123591,123591,2022-02-01 14:35:00+05:30,17583.35,17603.95,17572.95,17595.0,-11.650000000001455
123592,123592,2022-02-01 14:40:00+05:30,17606.1,17606.45,17569.55,17582.45,23.649999999997817
123593,123593,2022-02-01 14:45:00+05:30,17582.05,17610.2,17576.7,17604.0,-21.950000000000728
123594,123594,2022-02-01 14:50:00+05:30,17573.8,17585.65,17537.7,17582.05,-8.25
123595,123595,2022-02-01 14:55:00+05:30,17553.45,17586.6,17544.5,17574.1,-20.649999999997817
123598,123598,2022-02-01 15:10:00+05:30,17563.2,17575.15,17556.5,17573.05,-9.849999999998545
123599,123599,2022-02-01 15:15:00+05:30,17584.55,17590.9,17561.55,17562.8,21.75
123600,123600,2022-02-01 15:20:00+05:30,17595.25,17597.1,17577.2,17584.15,11.099999999998545
123601,123601,2022-02-01 15:25:00+05:30,17604.65,17605.8,17593.45,17594.8,9.850000000002183
123602,123602,2022-02-02 09:15:00+05:30,17709.3,17722.35,17689.8,17706.2,3.099999999998545
123630,123630,2022-02-02 11:35:00+05:30,17731.9,17742.5,17729.2,17734.75,-2.849999999998545
123631,123631,2022-02-02 11:40:00+05:30,17740.85,17742.35,17727.25,17731.65,9.19999999999709
123632,123632,2022-02-02 11:45:00+05:30,17750.9,17750.9,17740.1,17740.1,10.80000000000291
123633,123633,2022-02-02 11:50:00+05:30,17760.85,17762.2,17749.6,17751.05,9.799999999999272
123634,123634,2022-02-02 11:55:00+05:30,17765.55,17767.45,17756.65,17760.55,5.0
123693,123693,2022-02-03 10:35:00+05:30,17702.3,17711.8,17699.3,17702.7,-0.4000000000014552
123694,123694,2022-02-03 10:40:00+05:30,17713.45,17715.35,17700.85,17701.55,11.900000000001455
123695,123695,2022-02-03 10:45:00+05:30,17715.7,17721.65,17712.2,17713.75,1.9500000000007276
123696,123696,2022-02-03 10:50:00+05:30,17708.65,17716.25,17704.15,17715.8,-7.149999999997817
123697,123697,2022-02-03 10:55:00+05:30,17709.4,17717.2,17707.55,17708.35,1.0500000000029104
123710,123710,2022-02-03 12:00:00+05:30,17651.45,17654.35,17640.35,17653.85,-2.399999999997817
123711,123711,2022-02-03 12:05:00+05:30,17655.65,17664.2,17650.85,17650.85,4.80000000000291
123712,123712,2022-02-03 12:10:00+05:30,17632.4,17654.5,17630.6,17654.5,-22.099999999998545
123713,123713,2022-02-03 12:15:00+05:30,17644.55,17646.0,17625.45,17632.15,12.399999999997817
123714,123714,2022-02-03 12:20:00+05:30,17642.3,17648.9,17637.3,17644.45,-2.150000000001455
123732,123732,2022-02-03 13:50:00+05:30,17599.15,17602.25,17585.3,17599.35,-0.19999999999708962
123733,123733,2022-02-03 13:55:00+05:30,17606.05,17614.1,17598.1,17598.95,7.099999999998545
123734,123734,2022-02-03 14:00:00+05:30,17623.95,17626.0,17604.15,17606.8,17.150000000001455
123735,123735,2022-02-03 14:05:00+05:30,17630.0,17635.3,17613.65,17625.1,4.900000000001455
123736,123736,2022-02-03 14:10:00+05:30,17629.95,17633.9,17620.4,17629.9,0.049999999999272404
