Percent Change,Percent Change1,date
-0.00066885,-0.066885,13-02-2015 04:10
6.04E-05,0.00604,13-02-2015 04:10
-0.00026376,-0.026376,13-02-2015 04:10
-0.0008285,-0.08285,13-02-2015 04:10
0.001623614,0.1623614,13-02-2015 04:10
0.005156352,0.5156352,13-02-2015 04:10
-0.00140803,-0.140803,13-02-2015 04:10
0.001625317,0.1625317,13-02-2015 04:10
0.003140334,0.3140334,13-02-2015 04:30
0.002569704,0.2569704,13-02-2015 06:30
-0.001332432,-0.1332432,13-02-2015 07:25
0.001878747,0.1878747,13-02-2015 08:40
0.00020586,0.020586,13-02-2015 08:10
0.000182891,0.0182891,13-02-2015 08:40
-0.000608733,-0.0608733,13-02-2015 08:55
0.002727148,0.2727148,13-02-2015 09:15
0.001801194,0.1801194,16-02-2015 03:45
0.003571159,0.3571159,16-02-2015 03:45
-0.000995581,-0.0995581,16-02-2015 04:40
0.00405699,0.405699,16-02-2015 04:40
-0.001627285,-0.1627285,16-02-2015 04:40
-0.000993564,-0.0993564,16-02-2015 04:40
-0.000477494,-0.0477494,16-02-2015 04:40
0.00154537,0.154537,16-02-2015 04:40
0.001641377,0.1641377,16-02-2015 05:20
-0.002053772,-0.2053772,16-02-2015 05:20
-0.001086423,-0.1086423,16-02-2015 08:20
-0.000778373,-0.0778373,16-02-2015 08:20
-0.000813428,-0.0813428,16-02-2015 08:50
-0.000649538,-0.0649538,16-02-2015 09:40
0.00048565,0.048565,16-02-2015 09:40
0.001980786,0.1980786,18-02-2015 04:20
0.001991719,0.1991719,18-02-2015 04:20
0.001133424,0.1133424,18-02-2015 04:20
-0.000803964,-0.0803964,18-02-2015 04:40
-0.000810107,-0.0810107,18-02-2015 05:05
0.004241852,0.4241852,18-02-2015 08:30
0.004093583,0.4093583,18-02-2015 09:00
-1.75E-05,-0.00175,18-02-2015 09:00
0.002209286,0.2209286,18-02-2015 09:00
-0.000254808,-0.0254808,18-02-2015 09:15
-0.000500684,-0.0500684,18-02-2015 09:15
0.001509717,0.1509717,19-02-2015 05:05
0.001678453,0.1678453,19-02-2015 05:05
0.004199821,0.4199821,19-02-2015 07:35
0.004772556,0.4772556,19-02-2015 09:10
-0.000212938,-0.0212938,19-02-2015 09:10
-0.001856489,-0.1856489,20-02-2015 03:55
-0.001383292,-0.1383292,20-02-2015 03:55
-0.001823108,-0.1823108,20-02-2015 03:55
-0.000490854,-0.0490854,20-02-2015 03:55
-0.001002561,-0.1002561,20-02-2015 03:55
0.001638002,0.1638002,20-02-2015 03:55
-0.000651152,-0.0651152,20-02-2015 03:55
-0.000172287,-0.0172287,20-02-2015 05:50
-0.000703237,-0.0703237,20-02-2015 05:50
-0.000608018,-0.0608018,20-02-2015 09:50
-0.00034638,-0.034638,20-02-2015 09:50
0.00068607,0.068607,20-02-2015 09:50
-0.001117134,-0.1117134,20-02-2015 09:50
