,index,date,close,high,low,open,volume,date1,year,month,day,time,Size of Candle,is_forty_point
1278,123305,2022-01-27 09:30:00+05:30,16962.15,17017.85,16959.8,17015.6,0,2022-01-27,2022,1,27,09:30:00,-53.44999999999709,False
1279,123306,2022-01-27 09:35:00+05:30,16940.45,16967.15,16935.05,16965.05,0,2022-01-27,2022,1,27,09:35:00,-24.599999999998545,False
1280,123307,2022-01-27 09:40:00+05:30,16960.05,16966.1,16929.15,16940.1,0,2022-01-27,2022,1,27,09:40:00,19.950000000000728,False
1281,123308,2022-01-27 09:45:00+05:30,16977.15,16980.65,16937.4,16962.65,0,2022-01-27,2022,1,27,09:45:00,14.5,False
1282,123309,2022-01-27 09:50:00+05:30,17016.0,17025.85,16970.45,16977.15,0,2022-01-27,2022,1,27,09:50:00,38.849999999998545,False
1283,123310,2022-01-27 09:55:00+05:30,17036.6,17046.5,17007.25,17016.6,0,2022-01-27,2022,1,27,09:55:00,20.0,False
1284,123311,2022-01-27 10:00:00+05:30,17028.85,17036.6,17014.85,17036.6,0,2022-01-27,2022,1,27,10:00:00,-7.75,False
1285,123312,2022-01-27 10:05:00+05:30,17014.45,17030.65,17001.55,17030.0,0,2022-01-27,2022,1,27,10:05:00,-15.549999999999272,False
1320,123347,2022-01-27 13:00:00+05:30,16963.0,16969.9,16922.55,16922.85,0,2022-01-27,2022,1,27,13:00:00,40.150000000001455,True
1321,123348,2022-01-27 13:05:00+05:30,16971.6,16975.75,16958.8,16962.9,0,2022-01-27,2022,1,27,13:05:00,8.69999999999709,False
1322,123349,2022-01-27 13:10:00+05:30,17008.1,17012.65,16970.8,16971.3,0,2022-01-27,2022,1,27,13:10:00,36.79999999999927,False
1323,123350,2022-01-27 13:15:00+05:30,17004.35,17029.5,16987.95,17007.45,0,2022-01-27,2022,1,27,13:15:00,-3.100000000002183,False
1324,123351,2022-01-27 13:20:00+05:30,17013.3,17015.15,16989.4,17003.55,0,2022-01-27,2022,1,27,13:20:00,9.75,False
1325,123352,2022-01-27 13:25:00+05:30,16997.25,17016.95,16991.55,17013.1,0,2022-01-27,2022,1,27,13:25:00,-15.849999999998545,False
1326,123353,2022-01-27 13:30:00+05:30,17014.45,17014.9,16992.5,16998.45,0,2022-01-27,2022,1,27,13:30:00,16.0,False
1327,123354,2022-01-27 13:35:00+05:30,17032.3,17035.4,17005.45,17015.7,0,2022-01-27,2022,1,27,13:35:00,16.599999999998545,False
1328,123355,2022-01-27 13:40:00+05:30,17044.9,17044.9,17015.5,17032.35,0,2022-01-27,2022,1,27,13:40:00,12.55000000000291,False
1329,123356,2022-01-27 13:45:00+05:30,17056.0,17058.95,17042.15,17044.4,0,2022-01-27,2022,1,27,13:45:00,11.599999999998545,False
1350,123377,2022-01-28 09:15:00+05:30,17284.15,17291.3,17208.3,17208.3,0,2022-01-28,2022,1,28,09:15:00,75.85000000000218,True
1351,123378,2022-01-28 09:20:00+05:30,17239.35,17299.5,17213.1,17284.15,0,2022-01-28,2022,1,28,09:20:00,-44.80000000000291,False
1352,123379,2022-01-28 09:25:00+05:30,17269.15,17269.55,17230.5,17240.2,0,2022-01-28,2022,1,28,09:25:00,28.950000000000728,False
1353,123380,2022-01-28 09:30:00+05:30,17312.2,17321.45,17267.6,17269.15,0,2022-01-28,2022,1,28,09:30:00,43.04999999999927,True
1354,123381,2022-01-28 09:35:00+05:30,17331.55,17335.15,17285.75,17308.35,0,2022-01-28,2022,1,28,09:35:00,23.200000000000728,False
1355,123382,2022-01-28 09:40:00+05:30,17338.6,17348.45,17326.9,17330.9,0,2022-01-28,2022,1,28,09:40:00,7.69999999999709,False
1356,123383,2022-01-28 09:45:00+05:30,17319.7,17352.0,17314.95,17338.95,0,2022-01-28,2022,1,28,09:45:00,-19.25,False
1357,123384,2022-01-28 09:50:00+05:30,17348.25,17359.05,17318.95,17318.95,0,2022-01-28,2022,1,28,09:50:00,29.299999999999272,False
1358,123385,2022-01-28 09:55:00+05:30,17344.5,17357.65,17338.2,17349.05,0,2022-01-28,2022,1,28,09:55:00,-4.549999999999272,False
1359,123386,2022-01-28 10:00:00+05:30,17344.3,17351.2,17330.15,17344.45,0,2022-01-28,2022,1,28,10:00:00,-0.1500000000014552,False
1540,123567,2022-02-01 12:35:00+05:30,17585.4,17585.4,17520.75,17521.8,0,2022-02-01,2022,2,1,12:35:00,63.60000000000218,True
1541,123568,2022-02-01 12:40:00+05:30,17585.7,17597.35,17569.85,17584.5,0,2022-02-01,2022,2,1,12:40:00,1.2000000000007276,False
1542,123569,2022-02-01 12:45:00+05:30,17557.7,17587.0,17542.65,17584.8,0,2022-02-01,2022,2,1,12:45:00,-27.099999999998545,False
1543,123570,2022-02-01 12:50:00+05:30,17570.4,17587.65,17558.35,17558.35,0,2022-02-01,2022,2,1,12:50:00,12.05000000000291,False
1544,123571,2022-02-01 12:55:00+05:30,17536.45,17591.1,17535.25,17569.35,0,2022-02-01,2022,2,1,12:55:00,-32.89999999999782,False
1545,123572,2022-02-01 13:00:00+05:30,17435.5,17535.7,17393.4,17535.7,0,2022-02-01,2022,2,1,13:00:00,-100.20000000000073,False
1546,123573,2022-02-01 13:05:00+05:30,17429.4,17448.9,17404.15,17434.9,0,2022-02-01,2022,2,1,13:05:00,-5.5,False
1547,123574,2022-02-01 13:10:00+05:30,17278.0,17444.4,17268.9,17429.05,0,2022-02-01,2022,2,1,13:10:00,-151.04999999999927,False
1548,123575,2022-02-01 13:15:00+05:30,17393.8,17403.7,17245.45,17277.6,0,2022-02-01,2022,2,1,13:15:00,116.20000000000073,True
1549,123576,2022-02-01 13:20:00+05:30,17373.65,17396.1,17362.0,17394.9,0,2022-02-01,2022,2,1,13:20:00,-21.25,False
1550,123577,2022-02-01 13:25:00+05:30,17441.3,17459.9,17372.5,17374.65,0,2022-02-01,2022,2,1,13:25:00,66.64999999999782,True
1551,123578,2022-02-01 13:30:00+05:30,17480.35,17481.7,17430.15,17440.6,0,2022-02-01,2022,2,1,13:30:00,39.75,False
1552,123579,2022-02-01 13:35:00+05:30,17452.05,17481.6,17452.0,17478.25,0,2022-02-01,2022,2,1,13:35:00,-26.200000000000728,False
1553,123580,2022-02-01 13:40:00+05:30,17468.05,17473.0,17445.6,17451.5,0,2022-02-01,2022,2,1,13:40:00,16.549999999999272,False
1554,123581,2022-02-01 13:45:00+05:30,17511.75,17527.55,17466.4,17468.35,0,2022-02-01,2022,2,1,13:45:00,43.400000000001455,True
1555,123582,2022-02-01 13:50:00+05:30,17505.3,17525.3,17500.2,17511.7,0,2022-02-01,2022,2,1,13:50:00,-6.400000000001455,False
1556,123583,2022-02-01 13:55:00+05:30,17500.35,17528.5,17473.75,17505.55,0,2022-02-01,2022,2,1,13:55:00,-5.200000000000728,False
1557,123584,2022-02-01 14:00:00+05:30,17515.35,17522.3,17496.2,17500.35,0,2022-02-01,2022,2,1,14:00:00,15.0,False
1558,123585,2022-02-01 14:05:00+05:30,17523.85,17533.5,17497.65,17514.25,0,2022-02-01,2022,2,1,14:05:00,9.599999999998545,False
1559,123586,2022-02-01 14:10:00+05:30,17542.0,17555.5,17520.1,17524.25,0,2022-02-01,2022,2,1,14:10:00,17.75,False
1726,123753,2022-02-04 09:20:00+05:30,17551.15,17551.15,17480.9,17501.75,0,2022-02-04,2022,2,4,09:20:00,49.400000000001455,True
1727,123754,2022-02-04 09:25:00+05:30,17575.05,17592.75,17551.1,17551.1,0,2022-02-04,2022,2,4,09:25:00,23.950000000000728,False
1728,123755,2022-02-04 09:30:00+05:30,17568.4,17595.25,17566.4,17575.55,0,2022-02-04,2022,2,4,09:30:00,-7.149999999997817,False
1729,123756,2022-02-04 09:35:00+05:30,17575.6,17577.6,17544.65,17567.35,0,2022-02-04,2022,2,4,09:35:00,8.25,False
1730,123757,2022-02-04 09:40:00+05:30,17579.0,17586.3,17564.9,17575.05,0,2022-02-04,2022,2,4,09:40:00,3.9500000000007276,False
1731,123758,2022-02-04 09:45:00+05:30,17600.65,17603.55,17564.35,17578.65,0,2022-02-04,2022,2,4,09:45:00,22.0,False
1732,123759,2022-02-04 09:50:00+05:30,17616.45,17617.3,17592.0,17602.75,0,2022-02-04,2022,2,4,09:50:00,13.700000000000728,False
1733,123760,2022-02-04 09:55:00+05:30,17581.25,17616.55,17577.9,17616.5,0,2022-02-04,2022,2,4,09:55:00,-35.25,False
1734,123761,2022-02-04 10:00:00+05:30,17570.9,17585.85,17565.55,17581.3,0,2022-02-04,2022,2,4,10:00:00,-10.399999999997817,False
1735,123762,2022-02-04 10:05:00+05:30,17553.65,17571.65,17542.85,17571.65,0,2022-02-04,2022,2,4,10:05:00,-18.0,False
1800,123827,2022-02-07 09:15:00+05:30,17528.05,17535.95,17437.0,17456.3,0,2022-02-07,2022,2,7,09:15:00,71.75,True
1801,123828,2022-02-07 09:20:00+05:30,17493.8,17529.05,17476.55,17528.1,0,2022-02-07,2022,2,7,09:20:00,-34.29999999999927,False
1802,123829,2022-02-07 09:25:00+05:30,17466.1,17494.7,17418.75,17493.9,0,2022-02-07,2022,2,7,09:25:00,-27.80000000000291,False
1803,123830,2022-02-07 09:30:00+05:30,17466.25,17472.75,17444.6,17460.55,0,2022-02-07,2022,2,7,09:30:00,5.700000000000728,False
1804,123831,2022-02-07 09:35:00+05:30,17434.2,17485.25,17434.2,17464.45,0,2022-02-07,2022,2,7,09:35:00,-30.25,False
1805,123832,2022-02-07 09:40:00+05:30,17447.4,17458.1,17428.4,17434.35,0,2022-02-07,2022,2,7,09:40:00,13.05000000000291,False
1806,123833,2022-02-07 09:45:00+05:30,17455.7,17464.7,17439.15,17448.0,0,2022-02-07,2022,2,7,09:45:00,7.700000000000728,False
1807,123834,2022-02-07 09:50:00+05:30,17459.0,17468.15,17440.4,17455.95,0,2022-02-07,2022,2,7,09:50:00,3.0499999999992724,False
1808,123835,2022-02-07 09:55:00+05:30,17408.65,17459.25,17408.65,17458.0,0,2022-02-07,2022,2,7,09:55:00,-49.349999999998545,False
1809,123836,2022-02-07 10:00:00+05:30,17409.7,17416.65,17390.15,17410.1,0,2022-02-07,2022,2,7,10:00:00,-0.3999999999978172,False
1857,123884,2022-02-07 14:00:00+05:30,17172.3,17173.65,17127.35,17127.35,0,2022-02-07,2022,2,7,14:00:00,44.95000000000073,True
1858,123885,2022-02-07 14:05:00+05:30,17188.5,17198.25,17164.3,17172.25,0,2022-02-07,2022,2,7,14:05:00,16.25,False
1859,123886,2022-02-07 14:10:00+05:30,17178.7,17192.65,17165.45,17188.4,0,2022-02-07,2022,2,7,14:10:00,-9.700000000000728,False
1860,123887,2022-02-07 14:15:00+05:30,17180.75,17195.55,17174.35,17179.0,0,2022-02-07,2022,2,7,14:15:00,1.75,False
1861,123888,2022-02-07 14:20:00+05:30,17191.5,17191.55,17167.3,17180.25,0,2022-02-07,2022,2,7,14:20:00,11.25,False
1862,123889,2022-02-07 14:25:00+05:30,17209.6,17215.25,17190.2,17191.5,0,2022-02-07,2022,2,7,14:25:00,18.099999999998545,False
1863,123890,2022-02-07 14:30:00+05:30,17205.55,17214.8,17191.1,17209.85,0,2022-02-07,2022,2,7,14:30:00,-4.299999999999272,False
1864,123891,2022-02-07 14:35:00+05:30,17188.2,17209.3,17187.1,17205.6,0,2022-02-07,2022,2,7,14:35:00,-17.399999999997817,False
1865,123892,2022-02-07 14:40:00+05:30,17157.8,17196.3,17157.1,17188.85,0,2022-02-07,2022,2,7,14:40:00,-31.049999999999272,False
1866,123893,2022-02-07 14:45:00+05:30,17158.0,17171.35,17156.65,17157.15,0,2022-02-07,2022,2,7,14:45:00,0.8499999999985448,False
1956,123983,2022-02-09 09:45:00+05:30,17434.65,17438.4,17392.75,17392.95,0,2022-02-09,2022,2,9,09:45:00,41.70000000000073,True
